NAME,ITEM_TYPE,KIND,DATE_TAKEN,CONTRIBUTING_ARTISTS,AUTHORS,FILE_EXTENSION,PATH,MEDIA_CREATED
1_05_fanatic-lost-in-the-mist,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_05_fanatic-lost-in-the-mist.ogg,
1_06 Frantic,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_06 Frantic.ogg,
1_06 Our Kingdom Will Fall,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_06 Our Kingdom Will Fall.ogg,
1_06 Spooky,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_06 Spooky.ogg,
1_06 Wild Thing,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_06 Wild Thing.ogg,
1_07 Knights of Pen and Paper - Medley,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_07 Knights of Pen and Paper - Medley.ogg,
1_07 The Stone Masons (Guns Drums and Steel remix) (2)_5ca0f4dc805fb,OGG File,,,,,,,
1_07-Mine tonite-Rocket City Riot,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_07-Mine tonite-Rocket City Riot.ogg,
1_08 Bruce Channel - Hey Baby,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_08 Bruce Channel - Hey Baby.ogg,
1_08-Nowhere to go-The Napoleon Blown Aparts,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_08-Nowhere to go-The Napoleon Blown Aparts.ogg,
1_09 Chad & Jeremy - A Summer Song (Rerecorded),OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_09 Chad & Jeremy - A Summer Song (Rerecorded).ogg,
1_09_TriggerFalling (3),OGG File,,,,,,,
1_0A_Ascender,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_0A_Ascender.ogg,
1_0B_Falling (3),OGG File,,,,,,,
1_0B_Falling,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_0B_Falling.ogg,
1_0C_Landing,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_0C_Landing.ogg,
1_0D_PickUpDomino,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_0D_PickUpDomino.ogg,
1_0E_Tapping (3),OGG File,,,,,,,
1_0E_Tapping,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_0E_Tapping.ogg,
1_0F_Schrugging (3),OGG File,,,,,,,
1_0F_Schrugging,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_0F_Schrugging.ogg,
1_1 (4)_5ca0f4e3157df,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_1 (4)_5ca0f4e3157df.ogg,
1_1-2 (3),OGG File,,,,,,,
1_1. Europa Universalis IV Guns Drums and Steel  Main Theme (2)_5ca26811b270d,OGG File,,,,,,,
1_1. Europa Universalis IV Guns Drums and Steel  Main Theme,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_1. Europa Universalis IV Guns Drums and Steel  Main Theme.ogg,
1_1,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_1.ogg,
1_10,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_10.ogg,
1_10_DoorClose (3),OGG File,,,,,,,
1_11 (6)_5ca1048b82202,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_11 (6)_5ca1048b82202.ogg,
1_11 The Angels - My Boyfriend's Back,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_11 The Angels - My Boyfriend's Back.ogg,
1_11 Up on the Roof,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_11 Up on the Roof.ogg,
1_11,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_11.ogg,
1_11_fanatic-set-free,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_11_fanatic-set-free.ogg,
1_12 (6)_5aafa55991d27_5ca1048c1f44e,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_12 (6)_5aafa55991d27_5ca1048c1f44e.ogg,
1_12 copy (2017_12_02 22_49_39 UTC)_5ca1048c5f60a,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_12 copy (2017_12_02 22_49_39 UTC)_5ca1048c5f60a.ogg,
1_12 Revelation,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_12 Revelation.ogg,
1_14 Gee,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_14 Gee.ogg,
1_14 Sad,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_14 Sad.ogg,
1_17 Transience,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_17 Transience.ogg,
1_18 Ride Forth Victoriously,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_18 Ride Forth Victoriously.ogg,
1_2 (5) (2017_12_02 22_49_39 UTC)_5ca26812eb6b3,OGG File,,,,,.ogg,E:\Manually Sorted\OGG\1_2 (5) (2017_12_02 22_49_39 UTC)_5ca26812eb6b3.ogg,
